Date,Price,Open,High,Low,Vol.,Change %
5/16/25,594.2,591.25,594.5,589.28,76.05M,0.63%
5/15/25,590.46,585.56,590.97,585.1,71.27M,0.49%
5/14/25,587.59,587.81,588.98,585.53,66.28M,0.13%
5/13/25,586.84,583.41,589.08,582.84,67.95M,0.66%
5/12/25,582.99,581.47,583,577.04,78.99M,3.30%
5/9/25,564.34,566.48,567.5,562.76,37.60M,-0.13%
5/8/25,565.06,565.24,570.31,561.7,65.13M,0.70%
5/7/25,561.15,560.15,563.82,556.04,55.73M,0.42%
5/6/25,558.8,557.93,563.35,556.96,48.26M,-0.84%
5/5/25,563.51,562.57,566.65,561.7,38.66M,-0.57%
5/2/25,566.76,564.73,568.38,562.38,60.72M,1.48%
5/1/25,558.47,560.37,564.07,557.86,63.19M,0.71%
4/30/25,554.54,547.57,556.52,541.52,93.10M,0.04%
4/29/25,554.32,548.91,555.45,548.55,47.78M,0.63%
4/28/25,550.85,551.39,553.55,545.02,47.61M,0.04%
4/25/25,550.64,546.65,551.05,543.69,61.12M,0.72%
4/24/25,546.69,536.72,547.43,535.45,64.15M,2.10%
4/23/25,535.42,540.43,545.43,533.88,90.59M,1.55%
4/22/25,527.25,520.14,529.3,519.19,75.95M,2.60%
4/21/25,513.88,521.16,521.7,508.46,69.37M,-2.38%
4/17/25,526.41,527.64,531.16,523.91,79.87M,0.14%
4/16/25,525.66,531.68,537.89,520.29,83.48M,-2.22%
4/15/25,537.61,539.67,543.23,536.81,56.89M,-0.28%
4/14/25,539.12,544.05,544.28,533.86,68.03M,0.97%
4/11/25,533.94,523.01,536.43,520.07,97.87M,1.78%
4/10/25,524.58,532.17,533.49,509.32,162.33M,-4.38%
4/9/25,548.62,493.44,548.62,493.05,241.87M,10.50%
4/8/25,496.48,521.86,524.98,489.16,165.82M,-1.57%
4/7/25,504.38,489.19,523.17,481.8,256.61M,-0.18%
4/4/25,505.28,523.67,525.87,505.06,217.97M,-5.85%
4/3/25,536.7,545.11,547.97,536.7,125.99M,-4.93%
4/2/25,564.52,555.05,567.42,554.81,76.01M,0.63%
4/1/25,560.97,557.45,562.94,553.68,54.61M,0.28%
3/31/25,559.39,549.83,560.71,546.87,95.33M,0.67%
3/28/25,555.66,565.53,566.27,555.07,71.66M,-2.01%
3/27/25,567.08,567.18,570.9,564.94,42.16M,-0.27%
3/26/25,568.59,575.19,576.33,567.19,52.23M,-1.19%
3/25/25,575.46,575.3,576.41,573.69,38.36M,0.24%
3/24/25,574.08,570.8,575.15,570.2,58.77M,1.79%
3/21/25,563.98,559.28,564.89,558.03,83.76M,-0.27%
3/20/25,565.49,563.33,570.57,562.6,62.96M,-0.29%
3/19/25,567.13,562.83,570.95,561.63,66.56M,1.09%
3/18/25,561.02,564.8,565.02,559.06,66.04M,-1.08%
3/17/25,567.15,562.79,569.71,562.35,49.01M,0.77%
3/14/25,562.81,556.11,563.83,551.49,62.66M,2.07%
3/13/25,551.42,558.49,559.1,549.68,74.08M,-1.33%
3/12/25,558.87,562.17,563.11,553.69,69.59M,0.53%
3/11/25,555.92,559.4,564.02,552.02,88.10M,-0.83%
3/10/25,560.58,567.59,569.54,555.59,99.33M,-2.66%
3/7/25,575.92,570.9,577.39,565.63,81.16M,0.56%
3/6/25,572.71,575.48,580.17,570.12,80.09M,-1.78%
3/5/25,583.06,576.69,584.88,573.08,71.23M,1.07%
3/4/25,576.86,579.71,585.39,572.25,109.65M,-1.18%
3/3/25,583.77,596.18,597.34,579.9,74.25M,-1.75%
2/28/25,594.18,585.56,594.72,582.44,88.74M,1.56%
2/27/25,585.05,596.85,598.02,584.65,74.20M,-1.60%
2/26/25,594.54,595.93,599.58,591.86,43.32M,0.05%
2/25/25,594.24,597.15,597.89,589.56,58.27M,-0.50%
2/24/25,597.21,602.02,603.03,596.49,50.74M,-0.46%
2/21/25,599.94,610.16,610.3,599.47,76.52M,-1.71%
2/20/25,610.38,611.54,611.68,607.02,36.55M,-0.42%
2/19/25,612.93,610.08,613.23,609.56,31.01M,0.24%
2/18/25,611.49,610.88,611.49,608.38,26.75M,0.29%
2/14/25,609.7,609.94,610.99,609.07,26.91M,0.00%
2/13/25,609.73,604.48,609.94,603.2,40.92M,1.06%
2/12/25,603.36,599.2,604.55,598.51,45.08M,-0.32%
2/11/25,605.31,602.55,605.86,602.43,30.06M,0.08%
2/10/25,604.85,604.03,605.5,602.74,26.05M,0.68%
2/7/25,600.77,606.89,608.13,600.05,50.79M,-0.92%
2/6/25,606.32,605.99,606.45,602.63,35.77M,0.35%
2/5/25,604.22,600.64,604.37,598.58,30.65M,0.41%
2/4/25,601.78,597.83,602.3,597.28,33.46M,0.67%
2/3/25,597.77,592.67,600.29,590.49,65.86M,-0.67%
1/31/25,601.82,607.5,609.96,601.05,66.67M,-0.53%
1/30/25,605.04,603.96,606.6,600.72,39.28M,0.54%
1/29/25,601.81,603.72,604.13,599.22,37.18M,-0.45%
1/28/25,604.52,600.62,605.37,597.25,44.43M,0.86%
1/27/25,599.37,594.81,599.69,594.64,70.36M,-1.41%
1/24/25,607.97,609.81,610.78,606.8,34.60M,-0.29%
1/23/25,609.75,605.8,609.75,605.52,41.15M,0.55%
1/22/25,606.44,605.92,607.82,605.36,48.20M,0.56%
1/21/25,603.05,600.67,603.06,598.67,42.53M,0.92%
1/17/25,597.58,596.96,599.36,595.61,58.07M,1.00%
1/16/25,591.64,594.17,594.35,590.93,43.32M,-0.19%
1/15/25,592.78,590.33,593.94,589.2,56.90M,1.82%
1/14/25,582.19,584.36,585,578.35,48.42M,0.14%
1/13/25,581.39,575.77,581.75,575.35,47.91M,0.16%
1/10/25,580.49,585.88,585.95,578.55,73.11M,-1.53%
1/8/25,589.49,588.7,590.58,585.2,47.30M,0.15%
1/7/25,588.63,597.42,597.75,586.78,60.39M,-1.13%
1/6/25,595.36,596.27,599.7,593.6,47.68M,0.58%
1/3/25,591.95,587.53,592.6,586.43,37.89M,1.25%
1/2/25,584.64,589.39,591.13,580.5,50.20M,-0.25%
12/31/24,586.08,589.91,590.64,584.42,57.05M,-0.36%
12/30/24,588.22,587.89,591.74,584.41,56.58M,-1.14%
12/27/24,595.01,597.54,597.78,590.76,64.97M,-1.05%
12/26/24,601.34,599.5,602.48,598.08,41.34M,0.01%
12/24/24,601.3,596.06,601.34,595.47,33.16M,1.11%
12/23/24,594.69,590.89,595.3,587.66,57.64M,0.60%
12/20/24,591.15,581.77,595.75,580.91,125.72M,0.86%
12/19/24,586.1,591.36,593,585.85,85.92M,-0.03%
12/18/24,586.28,603.98,606.41,585.89,108.25M,-2.98%
12/17/24,604.29,604.19,605.17,602.89,55.77M,-0.41%
12/16/24,606.79,606,607.78,605.21,43.70M,0.43%
12/13/24,604.21,606.4,607.13,602.81,35.90M,-0.02%
12/12/24,604.33,606.58,607.16,604.33,31.54M,-0.52%
12/11/24,607.46,605.78,608.43,605.5,28.68M,0.77%
12/10/24,602.8,605.37,605.8,602.13,37.23M,-0.31%
12/9/24,604.68,607.69,607.86,604.08,34.74M,-0.51%
12/6/24,607.81,607.44,609.07,607.02,31.24M,0.19%
12/5/24,606.66,607.66,608.48,606.3,28.76M,-0.16%
12/4/24,607.66,605.63,607.91,604.95,42.79M,0.62%
12/3/24,603.91,603.39,604.16,602.34,26.91M,0.05%
12/2/24,603.63,602.97,604.32,602.47,31.75M,0.18%
11/29/24,602.55,599.66,603.35,599.38,30.18M,0.62%
11/27/24,598.83,600.46,600.85,597.28,34.00M,-0.30%
11/26/24,600.65,598.8,601.33,598.07,45.62M,0.52%
